,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
7,7,Mia Greenwald,,,,1,0,0,1,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,MIA GREENWALD
8,8,Carly Campana,,,"5'9""",1,3,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,CARLY CAMPANA
9,10,Hannah Kreilkamp,,,,1,1,0,1,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,HANNAH KREILKAMP
10,14,Madeline Stephenson,,,,1,0,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,MADELINE STEPHENSON
11,17,Ellen Goldberg,,,"5'10""",1,2,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,ELLEN GOLDBERG
12,22,Katy Craley,,,,0,0,1,2,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,KATY CRALEY
13,23,Anh-Thu Chang,Handler,,"5'0""",0,0,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,ANH-THU CHANG
14,25,Emma Kahle,,,"1'0""",0,1,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,EMMA KAHLE
15,26,Stephanie Phillips,,,,1,0,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,STEPHANIE PHILLIPS
16,27,Anne Silver,,,,2,0,1,1,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,ANNE SILVER
17,28,Nora Carr,,,,2,1,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,NORA CARR
18,32,Michaela Fallon,,,,0,0,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,MICHAELA FALLON
19,33,Catherine Cate Roscoe,Handler,,"5'5""",0,1,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,CATHERINE CATE ROSCOE
20,34,Caitlin Cordell,,,,0,0,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,CAITLIN CORDELL
21,36,Sophia Johansen,,,"5'4""",1,0,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,SOPHIA JOHANSEN
22,47,Amanda Kostic,,,,2,1,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,AMANDA KOSTIC
23,51,Katharine Dusenbury,,,,0,0,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,KATHARINE DUSENBURY
24,77,Taylor Hartman,Mid,,"5'4""",0,1,1,1,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,TAYLOR HARTMAN
25,91,Tessora Young,,,"5'8""",1,0,1,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,TESSORA YOUNG
0,1,Krystal Dos Santos,,,"5'5""",2,0,1,2,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,KRYSTAL DOS SANTOS
1,4,Cindy Truong,,,,1,2,2,0,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,CINDY TRUONG
2,6,Sarah Burke,Defense (Cutter),,"5'4""",0,0,0,3,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,SARAH BURKE
3,7,Jeannette Quach,,,,1,1,1,3,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,JEANNETTE QUACH
4,10,Destin McQuillan,,,"1'0""",1,1,0,0,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,DESTIN MCQUILLAN
5,11,Laura Kinoshita,,,,0,0,0,1,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,LAURA KINOSHITA
6,12,Joey Cheung,,,"4'11""",0,0,1,3,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,JOEY CHEUNG
7,13,Anouchka Beaudry,,,,2,4,1,9,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,ANOUCHKA BEAUDRY
8,14,Miriam Tingle,,,,5,1,1,2,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,MIRIAM TINGLE
9,15,Jessie Wu,,,,0,1,0,0,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,JESSIE WU
10,16,Jessica Chen,,,,0,0,2,3,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,JESSICA CHEN
11,17,Nicolette Bertsch,,,"5'7""",0,0,0,0,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,NICOLETTE BERTSCH
12,20,Lauren Kimura,,,"5'8""",1,2,0,4,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,LAUREN KIMURA
13,22,Sarah Bobak,,,"5'7""",1,1,1,3,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,SARAH BOBAK
14,26,Jennifer Lam,Handler,,"5'3""",0,0,0,0,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,JENNIFER LAM
15,28,Jenna Mcleod,,,,2,0,0,1,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,JENNA MCLEOD
16,35,Molly Lewis,,,,0,1,0,1,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,MOLLY LEWIS
17,51,Sarah Innes,,,,1,1,2,0,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,SARAH INNES
18,53,Christine Jurychuk,,,,0,0,2,0,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,CHRISTINE JURYCHUK
19,77,Karen Chan,,,,0,1,1,1,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,KAREN CHAN
20,90,Jordan Meron,,,,1,1,1,3,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,JORDAN MERON
21,91,Erica Tucker,,,,2,2,1,4,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,ERICA TUCKER
22,93,Naomi Redmond,,,"5'7""",0,0,0,2,/events/teams/?EventTeamId=5iOcN1spsKlAOgauqGTPxU7l%2fgXtsQXrch%2bRfbm0WN0%3d,6ixers,8,NAOMI REDMOND
0,1,Julie Eagle Malecek,,,"5'9""",0,3,1,2,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,JULIE EAGLE MALECEK
1,2,Elise Ruffin,,,,1,5,1,2,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,ELISE RUFFIN
2,5,Andrea Esparza,,,"5'3""",0,1,3,4,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,ANDREA ESPARZA
3,6,Ivy Harrison,,,"5'4""",2,0,0,0,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,IVY HARRISON
4,7,Shiru Liu,,,,0,2,0,5,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,SHIRU LIU
5,9,Laura Landis,,,,0,1,0,1,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,LAURA LANDIS
6,10,Gabriella Cuina,,,,1,0,0,2,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,GABRIELLA CUINA
7,11,Katey Forth,,,,3,5,1,7,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,KATEY FORTH
8,13,Jennifer Schmerling,,,,0,0,1,4,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,JENNIFER SCHMERLING
9,14,Edith Teng,,,,0,0,0,1,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,EDITH TENG
10,16,Sarah Levinn,,,,2,1,1,3,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,SARAH LEVINN
11,17,Marissa Land,,,,0,0,0,0,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,MARISSA LAND
12,18,Laura Gerencser,,,,3,3,1,4,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,LAURA GERENCSER
13,21,Valerie Pinillos,,,,0,0,0,0,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,VALERIE PINILLOS
