,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
7,12.0,Brad Houser,Mid,,,13,12,3,7,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,BRAD HOUSER
8,14.0,Reed Hendrickson,Dump,,,3,0,2,3,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,REED HENDRICKSON
9,16.0,Mark Burton,Cutter,,,4,19,2,9,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,MARK BURTON
10,17.0,Ellen Goldberg,,,"5'10""",8,1,2,7,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,ELLEN GOLDBERG
11,19.0,Cole Johnson,,,,0,0,0,2,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,COLE JOHNSON
12,20.0,Grace Noah,Mid,,"5'6""",2,1,0,2,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,GRACE NOAH
13,21.0,Jesse Bolton,,,,2,3,1,2,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,JESSE BOLTON
14,22.0,Evan Klein,Defense (Cutter),,,7,10,2,6,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,EVAN KLEIN
15,23.0,Nicola Bruce,Deep,,"5'1""",0,1,0,3,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,NICOLA BRUCE
16,24.0,Alex Duffel,Defense (Handler),,,2,0,0,3,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,ALEX DUFFEL
