,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
7,7,Mia Greenwald,,,,3,4,1,4,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,MIA GREENWALD
8,8,Carly Campana,,,"5'9""",4,4,9,2,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,CARLY CAMPANA
9,10,Hannah Kreilkamp,,,,1,4,2,3,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,HANNAH KREILKAMP
10,14,Madeline Stephenson,,,"6'0""",1,1,4,2,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,MADELINE STEPHENSON
11,17,Ellen Goldberg,,,"5'10""",1,2,1,6,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,ELLEN GOLDBERG
12,22,Katy Craley,,,,6,0,3,4,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,KATY CRALEY
13,23,Anh-Thu Chang,Handler,,"5'0""",1,2,3,1,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,ANH-THU CHANG
14,25,Emma Kahle,,,"1'0""",1,3,2,9,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,EMMA KAHLE
15,26,Stephanie Phillips,,,,1,0,0,0,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,STEPHANIE PHILLIPS
16,27,Anne Silver,,,,5,0,1,5,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,ANNE SILVER
17,28,Nora Carr,,,,7,4,3,1,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,NORA CARR
